Nombre Grace,Claves Clases,Link MisProfes,
MARTHA ANGELICA GALICIA OSORIO,"DER-13030, DER-13031-LAB",,
GERARDO HERNANDEZ DEL VALLE,ACT-22309,,
MARIA DE LOURDES IBARRA Y HERRERIAS,EGN-17162,,
ANA TAMARIT AMIEVA,"LEN-12702, LEN-12701",,
CARLOS ARMANDO DE JESUS CANTU GARCIA,ECO-12121,,
PABLO ARIEL RAPETTI,"DER-11101, DER-11122",,
DAVID MORENO GUINEA,EGN-17141,,
XOCHITL CHAVARRIA CRUZ,COM-14113,,
JAVIER ESPINO MARTIN,EGN-17141,,
DIEGO ALEJANDRO OTERO ANGELINI,EGN-17121,,
LUIS ALBERTO KING MARTINEZ,DER-11117,,
ANA KARINA MIRANDA FLORES,IIO-13180,,
MARIA GABRIELA  MAZZUCHINO,"LEN-16403, LEN-12701, LEN-12721",,
CLAUDIA ABURTO RANCAÑO,"ECO-11010, ECO-11101",,
LUIS FERNANDO ARTEAGA VILLEDA,CON-14111,,
LUIS ENRIQUE NIETO BARAJAS,"EST-24105, EST-24124, EST-24126, EST-14101",,
SERGIO GARCIA ALQUICIRA,"ACT-11303, ACT-11300",,
ALEXANDRA LEMUS RODRIGUEZ,LEN-12759,,
CLAUDIA SOLEDAD SAAVEDRA MENDEZ,LEN-12701,,
HANNAH BIRKENKOTTER,"DER-11117, DER-11123-LAB, DER-11118",,
LUIS ASALI HARFUCH,DER-13504,,
ROMAIN SYLVAIN JEAN GENIEZ,"DER-11106, DER-11207",,
HECTOR JIMENEZ LANDIN,LEN-12766,,
MATHIAS JOSEF SCHNEIDER,"ADM-15535, ADM-15571, ADM-15533",,
MARIA ARIETTE ALVAREZ KURI,EGN-17121,,
RODRIGO FARIAS GARCIA,DER-10011,,
OSCAR PERALTA GUTIERREZ,ACT-11310,,
PAULINA MORALES LOPEZ SANTIBAÑEZ,LEN-12701,,
MAURICIO TOMAS ROMERO LONDOÑO,"ECO-10516, ECO-10521",,
DORA ILIANA MEDINA MEDINA,"IIO-15140, IIO-15151, IIO-15132",,
BARBARA CARRILLO FLORES,"ECO-13101, ECO-11103",,
ALEJANDRO VALENCIA MARTINEZ,CON-10005,,
ALEJANDRO  RODILES BRETON,"DER-10005, DER-10013, DER-18600, DER-18701",,
KRZYSZTOF ZAREMBA,"ADM-11101, ADM-11017",,
VICTOR FRANCISCO BREÑA MEDINA,"MAT-12201, MAT-14101",,
ERICK MIER MORENO,"EST-24126, EST-14101",,
ALMA RUTH POZOS ESPINOZA,ADM-16733,,
EDITH MIREYA VARGAS GARCIA,"MAT-14310, MAT-12349",,
MARCELA PORTE PETIT ANDUAGA,"CON-10112, CON-10003",,
GLORIA LOPEZ CHAVEZ,"MAT-14201, MAT-12310",,
RICARDO SERGIO FADL KURI,"ECO-15110, ECO-15101",,
